iter	Passed	Remaining
1431	69876	115550
1432	69921	115495
1433	69960	115429
1434	70010	115383
1435	70055	115327
1436	70104	115280
1437	70147	115221
1438	70196	115173
1439	70238	115112
1440	70284	115059
1441	70332	115009
1442	70384	114965
1443	70431	114914
1444	70489	114880
1445	70538	114831
1446	70584	114779
1447	70636	114735
1448	70679	114677
1449	70722	114619
1450	70776	114578
1451	70820	114522
1452	70870	114475
1453	70907	114408
1454	70955	114357
1455	71006	114312
1456	71049	114254
1457	71087	114188
1458	71139	114145
1459	71182	114087
1460	71238	114049
1461	71282	113993
1462	71331	113945
1463	71393	113917
1464	71446	113875
1465	71500	113834
1466	71559	113802
1467	71612	113760
1468	71652	113697
1469	71704	113654
1470	71751	113602
1471	71796	113547
1472	71840	113491
1473	71882	113432
1474	71930	113381
1475	71974	113325
1476	72016	113266
1477	72073	113230
1478	72121	113181
1479	72182	113150
1480	72225	113093
1481	72283	113059
1482	72333	113011
1483	72384	112967
1484	72427	112908
1485	72446	112814
1486	72486	112750
1487	72535	112702
1488	72588	112660
1489	72645	112624
1490	72687	112565
1491	72739	112521
1492	72780	112461
1493	72814	112389
1494	72856	112331
1495	72897	112269
1496	72946	112222
1497	72994	112171
1498	73036	112112
1499	73084	112063
1500	73131	112011
1501	73176	111957
1502	73222	111904
1503	73278	111865
1504	73330	111822
1505	73381	111777
1506	73429	111727
1507	73485	111690
1508	73537	111647
1509	73584	111594
1510	73636	111550
1511	73689	111509
1512	73737	111459
1513	73786	111410
1514	73840	111369
1515	73895	111330
1516	73947	111287
1517	74001	111245
1518	74052	111201
1519	74096	111144
1520	74134	111079
1521	74179	111026
1522	74225	110973
1523	74277	110928
1524	74318	110868
1525	74371	110826
1526	74418	110774
1527	74455	110708
1528	74508	110665
1529	74560	110622
1530	74609	110573
1531	74664	110534
1532	74713	110486
1533	74768	110446
1534	74821	110404
1535	74870	110355
1536	74914	110299
1537	74960	110247
1538	75017	110210
1539	75062	110156
1540	75116	110115
1541	75178	110086
1542	75229	110041
1543	75278	109993
1544	75327	109944
1545	75381	109902
1546	75431	109855
1547	75484	109812
1548	75540	109775
1549	75588	109725
1550	75642	109684
1551	75698	109646
1552	75751	109603
1553	75798	109552
1554	75852	109510
1555	75896	109455
1556	75945	109406
1557	75993	109356
1558	76047	109314
1559	76097	109268
1560	76148	109223
1561	76198	109174
1562	76248	109128
1563	76302	109086
1564	76351	109039
1565	76406	108998
1566	76462	108960
1567	76515	108917
1568	76564	108868
1569	76616	108824
1570	76674	108788
1571	76726	108745
1572	76775	108696
1573	76830	108655
1574	76879	108607
1575	76933	108566
1576	76981	108515
1577	77029	108465
1578	77076	108414
1579	77135	108380
1580	77183	108330
1581	77227	108274
1582	77279	108230
1583	77329	108183
1584	77387	108147
1585	77446	108113
1586	77502	108073
1587	77549	108022
1588	77599	107975
1589	77646	107923
1590	77697	107878
1591	77746	107829
1592	77799	107786
1593	77848	107738
1594	77906	107701
1595	77949	107644
1596	78002	107601
1597	78053	107555
1598	78103	107508
1599	78153	107461
1600	78211	107424
1601	78262	107379
1602	78306	107323
1603	78363	107285
1604	78423	107251
1605	78466	107195
1606	78520	107152
1607	78568	107103
1608	78619	107057
1609	78668	107008
1610	78719	106963
1611	78771	106918
1612	78822	106872
1613	78872	106824
1614	78925	106780
1615	78978	106737
1616	79033	106697
1617	79080	106646
1618	79138	106609
1619	79186	106559
1620	79238	106515
1621	79296	106478
1622	79356	106443
1623	79409	106400
1624	79452	106343
1625	79506	106301
1626	79558	106257
1627	79613	106216
1628	79663	106169
1629	79702	106106
1630	79746	106051
1631	79796	106004
1632	79846	105956
1633	79896	105908
1634	79944	105858
1635	79988	105803
1636	80043	105762
1637	80081	105699
1638	80128	105648
1639	80180	105603
1640	80234	105561
1641	80307	105543
1642	80349	105486
1643	80396	105434
1644	80439	105378
1645	80486	105327
1646	80528	105269
1647	80576	105219
1648	80630	105176
1649	80680	105128
1650	80725	105074
1651	80773	105024
1652	80815	104967
1653	80862	104915
1654	80916	104873
1655	80968	104828
1656	81016	104778
1657	81067	104733
1658	81117	104684
1659	81175	104647
1660	81224	104598
1661	81273	104550
